#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
 41	0.0000	0.0860	0.0000	0.0000	0.0770	0.0000	0.0000	0.0690	0.0000	0.0000	0.0700	0.0000	0.0000	0.0780	0.0000
 42	0.0000	0.0660	0.0000	0.0000	0.0580	0.0000	0.0000	0.0480	0.0000	0.0000	0.0530	0.0000	0.0000	0.0650	0.0000
 43	0.0000	0.0530	0.0000	0.0000	0.0450	0.0000	0.0000	0.0330	0.0000	0.0000	0.0310	0.0000	0.0000	0.0500	0.0000
 44	0.0000	0.0340	0.0000	0.0000	0.0310	0.0000	0.0000	0.0200	0.0000	0.0000	0.0220	0.0000	0.0000	0.0350	0.0000
 45	0.0000	0.0260	0.0000	0.0000	0.0200	0.0000	0.0000	0.0140	0.0000	0.0000	0.0130	0.0000	0.0000	0.0230	0.0000
 46	0.0000	0.0180	0.0000	0.0000	0.0110	0.0000	0.0000	0.0120	0.0000	0.0000	0.0080	0.0000	0.0000	0.0180	0.0000
 47	0.0000	0.0110	0.0000	0.0000	0.0080	0.0000	0.0000	0.0090	0.0000	0.0000	0.0060	0.0000	0.0000	0.0130	0.0000
 48	0.0000	0.0050	0.0000	0.0000	0.0060	0.0000	0.0000	0.0080	0.0000	0.0000	0.0040	0.0000	0.0000	0.0090	0.0000
 49	0.0000	0.0050	0.0000	0.0000	0.0060	0.0000	0.0000	0.0040	0.0000	0.0000	0.0020	0.0000	0.0000	0.0050	0.0000
 50	0.0000	0.0020	0.0000	0.0000	0.0050	0.0000	0.0000	0.0030	0.0000	0.0000	0.0010	0.0000	0.0000	0.0040	0.0000
 51	0.0000	0.0020	0.0000	0.0000	0.0020	0.0000	0.0000	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000
 52	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 53	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 54	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 55	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 56	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 57	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 58	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 59	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
 60	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
