#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
 41	0.0000	0.0820	0.1000	0.0000	0.0730	0.0940	0.0000	0.0630	0.0800	0.0000	0.0750	0.0780	0.0000	0.0950	0.0910
 42	0.0000	0.0770	0.0880	0.0000	0.0670	0.0660	0.0000	0.0510	0.0780	0.0000	0.0660	0.0750	0.0000	0.0750	0.0850
 43	0.0000	0.0660	0.0790	0.0000	0.0570	0.0660	0.0000	0.0410	0.0780	0.0000	0.0570	0.0690	0.0000	0.0660	0.0770
 44	0.0000	0.0560	0.0790	0.0000	0.0510	0.0570	0.0000	0.0390	0.0620	0.0000	0.0530	0.0550	0.0000	0.0600	0.0660
 45	0.0000	0.0490	0.0680	0.0000	0.0380	0.0530	0.0000	0.0320	0.0540	0.0000	0.0410	0.0510	0.0000	0.0520	0.0620
 46	0.0000	0.0480	0.0530	0.0000	0.0340	0.0460	0.0000	0.0270	0.0520	0.0000	0.0350	0.0460	0.0000	0.0430	0.0550
 47	0.0000	0.0430	0.0460	0.0000	0.0300	0.0380	0.0000	0.0250	0.0420	0.0000	0.0320	0.0410	0.0000	0.0390	0.0470
 48	0.0000	0.0370	0.0410	0.0000	0.0250	0.0330	0.0000	0.0240	0.0390	0.0000	0.0250	0.0330	0.0000	0.0350	0.0430
 49	0.0000	0.0310	0.0420	0.0000	0.0240	0.0320	0.0000	0.0200	0.0340	0.0000	0.0230	0.0330	0.0000	0.0330	0.0390
 50	0.0000	0.0260	0.0350	0.0000	0.0180	0.0330	0.0000	0.0200	0.0300	0.0000	0.0200	0.0300	0.0000	0.0260	0.0390
 51	0.0000	0.0190	0.0350	0.0000	0.0180	0.0280	0.0000	0.0160	0.0280	0.0000	0.0180	0.0230	0.0000	0.0220	0.0320
 52	0.0000	0.0100	0.0340	0.0000	0.0150	0.0230	0.0000	0.0140	0.0250	0.0000	0.0160	0.0210	0.0000	0.0160	0.0320
 53	0.0000	0.0090	0.0260	0.0000	0.0150	0.0210	0.0000	0.0140	0.0200	0.0000	0.0120	0.0210	0.0000	0.0150	0.0290
 54	0.0000	0.0050	0.0250	0.0000	0.0110	0.0190	0.0000	0.0100	0.0160	0.0000	0.0110	0.0190	0.0000	0.0120	0.0300
 55	0.0000	0.0050	0.0210	0.0000	0.0090	0.0190	0.0000	0.0090	0.0120	0.0000	0.0090	0.0150	0.0000	0.0100	0.0220
 56	0.0000	0.0050	0.0190	0.0000	0.0090	0.0150	0.0000	0.0080	0.0090	0.0000	0.0070	0.0150	0.0000	0.0090	0.0230
 57	0.0000	0.0040	0.0170	0.0000	0.0060	0.0130	0.0000	0.0060	0.0100	0.0000	0.0040	0.0160	0.0000	0.0090	0.0200
 58	0.0000	0.0030	0.0140	0.0000	0.0050	0.0120	0.0000	0.0050	0.0100	0.0000	0.0040	0.0120	0.0000	0.0080	0.0160
 59	0.0000	0.0020	0.0140	0.0000	0.0040	0.0070	0.0000	0.0050	0.0070	0.0000	0.0030	0.0110	0.0000	0.0070	0.0120
 60	0.0000	0.0010	0.0130	0.0000	0.0030	0.0050	0.0000	0.0050	0.0070	0.0000	0.0020	0.0080	0.0000	0.0050	0.0100
