#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
 41	0.0000	0.1320	0.0000	0.0000	0.1370	0.0000	0.0000	0.1540	0.0000	0.0000	0.1370	0.0000	0.0000	0.1380	0.0000
 42	0.0000	0.1200	0.0000	0.0000	0.1300	0.0000	0.0000	0.1390	0.0000	0.0000	0.1250	0.0000	0.0000	0.1240	0.0000
 43	0.0000	0.1040	0.0000	0.0000	0.1210	0.0000	0.0000	0.1180	0.0000	0.0000	0.1050	0.0000	0.0000	0.1120	0.0000
 44	0.0000	0.0910	0.0000	0.0000	0.1020	0.0000	0.0000	0.1050	0.0000	0.0000	0.0970	0.0000	0.0000	0.0980	0.0000
 45	0.0000	0.0800	0.0000	0.0000	0.0860	0.0000	0.0000	0.0920	0.0000	0.0000	0.0880	0.0000	0.0000	0.0890	0.0000
 46	0.0000	0.0760	0.0000	0.0000	0.0740	0.0000	0.0000	0.0830	0.0000	0.0000	0.0750	0.0000	0.0000	0.0720	0.0000
 47	0.0000	0.0630	0.0000	0.0000	0.0630	0.0000	0.0000	0.0740	0.0000	0.0000	0.0620	0.0000	0.0000	0.0630	0.0000
 48	0.0000	0.0570	0.0000	0.0000	0.0540	0.0000	0.0000	0.0680	0.0000	0.0000	0.0560	0.0000	0.0000	0.0540	0.0000
 49	0.0000	0.0490	0.0000	0.0000	0.0500	0.0000	0.0000	0.0580	0.0000	0.0000	0.0430	0.0000	0.0000	0.0480	0.0000
 50	0.0000	0.0450	0.0000	0.0000	0.0420	0.0000	0.0000	0.0450	0.0000	0.0000	0.0400	0.0000	0.0000	0.0390	0.0000
 51	0.0000	0.0380	0.0000	0.0000	0.0370	0.0000	0.0000	0.0360	0.0000	0.0000	0.0340	0.0000	0.0000	0.0310	0.0000
 52	0.0000	0.0360	0.0000	0.0000	0.0300	0.0000	0.0000	0.0270	0.0000	0.0000	0.0280	0.0000	0.0000	0.0270	0.0000
 53	0.0000	0.0330	0.0000	0.0000	0.0260	0.0000	0.0000	0.0220	0.0000	0.0000	0.0180	0.0000	0.0000	0.0230	0.0000
 54	0.0000	0.0320	0.0000	0.0000	0.0230	0.0000	0.0000	0.0180	0.0000	0.0000	0.0180	0.0000	0.0000	0.0210	0.0000
 55	0.0000	0.0280	0.0000	0.0000	0.0210	0.0000	0.0000	0.0150	0.0000	0.0000	0.0150	0.0000	0.0000	0.0180	0.0000
 56	0.0000	0.0240	0.0000	0.0000	0.0180	0.0000	0.0000	0.0120	0.0000	0.0000	0.0120	0.0000	0.0000	0.0150	0.0000
 57	0.0000	0.0200	0.0000	0.0000	0.0140	0.0000	0.0000	0.0080	0.0000	0.0000	0.0120	0.0000	0.0000	0.0140	0.0000
 58	0.0000	0.0170	0.0000	0.0000	0.0110	0.0000	0.0000	0.0070	0.0000	0.0000	0.0110	0.0000	0.0000	0.0110	0.0000
 59	0.0000	0.0140	0.0000	0.0000	0.0110	0.0000	0.0000	0.0070	0.0000	0.0000	0.0080	0.0000	0.0000	0.0100	0.0000
 60	0.0000	0.0120	0.0000	0.0000	0.0070	0.0000	0.0000	0.0070	0.0000	0.0000	0.0070	0.0000	0.0000	0.0090	0.0000
