# Generation: 300
# Total size: 5000; maximum age: 79
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0200, b=-0.2000, k=0.1911, t_0=10.0000
0	0	79	95	0
1	0	65	73	0
2	0	82	71	0
3	0	79	91	0
4	0	65	67	0
5	0	76	76	0
6	0	103	83	0
7	0	80	78	0
8	0	83	94	0
9	0	82	87	0
10	0	71	74	0
11	1	72	89	2
12	1	82	76	2
13	5	68	69	1
14	7	58	73	3
15	10	60	70	2
16	2	68	66	9
17	8	63	71	10
18	12	74	61	16
19	9	54	75	8
20	15	50	60	17
21	17	50	49	13
22	21	55	56	11
23	18	37	47	11
24	16	37	50	16
25	14	34	38	19
26	22	29	35	12
27	11	34	35	10
28	13	26	24	10
29	15	28	30	11
30	13	20	27	17
31	15	21	18	13
32	8	18	23	12
33	10	22	20	13
34	7	22	18	12
35	12	12	11	9
36	8	13	9	13
37	7	14	14	11
38	5	12	11	10
39	10	9	10	8
40	5	9	2	12
41	8	9	11	10
42	6	4	2	9
43	8	7	4	6
44	9	3	1	5
45	10	1	3	7
46	2	3	6	9
47	3	3	3	5
48	5	1	3	6
49	5	0	0	3
50	1	0	1	2
51	6	1	1	4
52	2	0	0	1
53	0	1	0	2
54	4	0	0	2
55	0	0	0	3
56	4	0	0	1
57	1	0	0	1
58	0	0	0	1
59	2	0	0	1
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	1	0	0	0
65	0	0	0	1
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	1	0	0	0
70	0	0	0	0
71	0	0	0	0
72	1	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	1
78	0	0	0	0
79	1	0	0	0
