# Generation: 300
# Total size: 5000; maximum age: 71
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0050, b=-0.0190, k=0.1911, t_0=3.8000
0	0	110	99	0
1	0	99	117	0
2	1	79	108	1
3	4	107	102	0
4	9	102	101	2
5	3	93	104	5
6	7	82	78	0
7	8	109	98	2
8	15	81	92	5
9	13	92	80	12
10	6	85	79	14
11	7	78	80	16
12	15	83	83	12
13	17	73	74	16
14	18	73	79	8
15	21	82	73	18
16	18	50	63	23
17	25	65	60	22
18	10	58	61	24
19	24	42	43	18
20	15	43	35	18
21	24	35	26	19
22	21	31	36	21
23	20	29	31	23
24	21	19	22	10
25	18	26	29	13
26	13	23	26	16
27	22	21	19	10
28	12	22	25	16
29	12	14	9	17
30	18	17	12	20
31	7	11	7	8
32	13	10	5	14
33	12	6	7	9
34	9	9	5	10
35	10	7	2	8
36	3	3	3	7
37	8	2	6	8
38	7	1	2	5
39	3	2	4	9
40	3	2	2	5
41	3	0	2	3
42	3	1	2	2
43	5	3	2	2
44	4	0	2	1
45	3	1	1	3
46	1	1	2	1
47	6	0	0	4
48	1	0	1	0
49	0	0	0	0
50	4	1	0	0
51	1	0	0	0
52	3	0	0	1
53	1	1	0	0
54	0	0	0	3
55	3	0	0	0
56	0	0	0	0
57	2	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	1
