# Generation: 300
# Total size: 5000; maximum age: 86
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0025, b=-0.0190, k=0.1911, t_0=7.6000
0	0	69	80	0
1	0	76	85	0
2	0	81	82	0
3	1	88	79	0
4	1	77	95	1
5	2	84	81	2
6	3	65	71	5
7	4	81	73	1
8	2	83	69	5
9	1	65	59	5
10	5	91	83	7
11	4	72	86	3
12	7	68	68	8
13	4	53	68	5
14	9	87	61	5
15	9	65	62	11
16	12	69	65	4
17	4	54	53	11
18	11	55	55	7
19	8	54	45	8
20	11	43	48	15
21	9	48	38	14
22	10	35	42	10
23	13	44	38	16
24	7	51	39	12
25	17	49	25	8
26	8	33	49	21
27	7	36	32	15
28	12	26	24	14
29	18	27	32	10
30	5	32	30	12
31	11	25	25	19
32	9	32	19	13
33	7	25	23	8
34	4	11	29	13
35	9	8	18	11
36	9	13	18	8
37	8	15	13	9
38	7	25	11	5
39	6	14	14	9
40	10	11	11	5
41	6	9	14	13
42	8	12	2	7
43	6	12	5	6
44	6	7	6	1
45	5	7	4	3
46	5	8	4	6
47	6	1	2	6
48	7	3	3	3
49	5	5	3	1
50	3	3	1	4
51	7	2	2	3
52	5	6	2	5
53	2	1	3	1
54	2	0	4	2
55	1	1	3	2
56	5	1	1	2
57	4	1	2	2
58	1	1	3	3
59	1	1	2	0
60	1	2	2	1
61	1	0	1	1
62	1	1	1	2
63	0	2	0	0
64	0	1	0	0
65	1	0	1	1
66	0	0	1	3
67	1	0	0	0
68	0	1	0	1
69	0	0	0	2
70	0	0	0	1
71	1	0	0	1
72	0	0	0	0
73	0	0	0	1
74	0	1	0	0
75	2	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	1	0
79	0	0	0	1
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	1
85	0	0	0	1
86	1	0	0	0
