# Generation: 300
# Total size: 5000; maximum age: 300
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0010, b=-0.0100, k=0.1911, t_0=10.0000
158	1	8	2	0
159	0	3	2	0
160	1	3	2	0
161	0	4	4	0
162	1	3	2	0
163	0	3	1	0
164	1	4	6	2
165	0	1	3	0
166	1	6	2	0
167	0	3	1	0
168	1	2	4	0
169	0	1	3	1
170	1	1	3	2
171	1	3	0	1
172	0	2	1	0
173	1	1	2	0
174	1	2	1	0
175	1	1	0	0
176	0	1	2	1
177	1	1	0	0
178	2	5	3	0
179	1	0	1	0
180	0	1	3	0
181	1	1	0	0
182	0	0	2	0
183	0	1	1	0
184	1	1	3	0
185	0	0	0	0
186	0	0	1	1
187	0	1	1	2
188	0	1	0	0
189	0	0	0	0
190	1	1	0	0
191	0	2	1	0
192	1	4	0	0
193	0	1	1	0
194	0	2	4	0
195	0	0	0	0
196	0	1	1	0
197	0	1	1	0
198	0	2	0	0
199	0	1	2	0
200	0	1	0	0
201	0	2	2	0
202	0	1	1	0
203	0	0	3	0
204	0	1	1	0
205	0	2	0	0
206	1	1	0	0
207	0	0	0	0
208	0	3	1	0
209	0	1	0	0
210	0	0	0	1
211	0	0	0	0
212	0	1	1	0
213	0	0	0	0
214	0	2	0	0
215	0	1	0	0
216	0	0	1	0
217	0	1	0	0
218	0	0	1	1
219	0	1	0	0
220	0	0	0	0
221	0	0	1	0
222	0	0	0	0
223	0	2	0	0
224	0	1	0	0
225	1	1	1	0
226	0	0	2	0
227	0	0	0	0
228	0	0	2	0
229	1	0	0	0
230	0	1	0	0
231	0	1	0	0
232	0	0	0	0
233	0	0	0	0
234	0	0	0	0
235	1	0	1	0
236	0	1	0	0
237	0	0	0	0
238	0	0	0	0
239	0	0	0	0
240	0	0	0	0
241	0	0	0	0
242	0	0	0	0
243	0	0	0	0
244	0	0	0	0
245	0	0	0	0
246	0	1	0	0
247	0	0	0	0
248	0	0	0	0
249	0	0	0	0
250	0	0	0	1
251	0	0	0	0
252	0	0	0	0
253	0	0	0	0
254	0	0	0	0
255	0	0	0	0
256	0	0	0	0
257	0	0	0	0
258	0	0	0	0
259	0	0	0	0
260	0	0	0	0
261	0	0	0	0
262	0	0	0	0
263	0	0	0	0
264	0	0	0	0
265	0	0	0	0
266	0	0	0	0
267	0	0	0	0
268	0	0	0	0
269	0	0	0	0
270	0	0	0	0
271	0	0	0	0
272	0	0	0	0
273	0	0	0	0
274	0	0	0	0
275	0	0	0	0
276	0	0	0	0
277	0	0	0	0
278	0	0	0	0
279	0	0	0	0
280	0	0	0	0
281	0	0	0	0
282	0	0	0	0
283	0	0	0	0
284	0	0	0	0
285	0	0	0	0
286	0	0	0	0
287	0	0	0	0
288	0	0	0	0
289	0	0	0	0
290	0	0	0	0
291	0	0	0	0
292	0	0	0	0
293	0	0	0	0
294	0	0	0	0
295	0	0	0	0
296	0	0	0	0
297	0	0	0	0
298	0	0	0	0
299	0	0	0	0
300	0	1	1	0
