# Generation: 300
# Total size: 5000; maximum age: 300
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0010, b=-0.0100, k=0.1911, t_0=10.0000
0	0	16	31	0
1	0	31	21	0
2	0	22	24	0
3	0	23	26	0
4	0	25	25	0
5	0	30	30	0
6	0	26	25	0
7	0	22	22	0
8	0	30	31	0
9	0	22	27	0
10	0	26	23	0
11	0	29	22	0
12	0	24	22	0
13	0	20	24	0
14	1	20	24	0
15	1	18	29	0
16	0	25	26	0
17	0	20	18	0
18	0	37	20	1
19	0	29	32	0
20	0	20	27	0
21	0	19	19	0
22	1	18	15	0
23	0	15	28	0
24	1	20	16	0
25	1	25	26	0
26	0	35	14	0
27	0	17	23	1
28	1	28	23	0
29	0	27	29	2
30	0	27	15	0
31	0	26	24	0
32	0	18	26	1
33	0	19	21	2
34	0	35	23	1
35	1	26	26	2
36	0	24	27	0
37	0	23	16	0
38	1	16	16	1
39	1	21	17	0
40	2	21	19	0
41	0	20	16	1
42	1	23	28	0
43	1	28	13	0
44	0	24	17	1
45	1	23	24	0
46	0	19	16	1
47	1	14	8	1
48	0	20	22	1
49	1	22	25	3
50	1	19	21	1
51	1	32	20	1
52	0	14	22	2
53	1	17	9	0
54	0	19	20	4
55	0	8	16	0
56	0	23	17	0
57	1	17	21	1
58	0	12	22	0
59	0	20	14	2
60	0	25	16	0
61	1	23	21	1
62	2	17	14	0
63	3	24	10	1
64	0	21	17	0
65	0	15	18	1
66	1	14	18	0
67	0	19	16	0
68	0	14	17	2
69	2	11	23	1
70	0	15	22	0
71	1	20	13	3
72	0	18	14	0
73	2	15	13	1
74	0	21	9	0
75	0	16	15	1
76	0	15	12	1
77	1	16	15	2
78	0	16	20	0
79	1	20	14	1
80	1	19	17	0
81	1	17	15	0
82	0	14	15	0
83	0	19	15	0
84	0	9	26	1
85	1	18	15	0
86	0	14	12	2
87	3	19	18	1
88	0	12	10	0
89	1	10	13	1
90	1	14	17	1
91	0	8	16	0
92	2	13	9	1
93	0	17	12	1
94	0	9	2	0
95	2	13	11	1
96	1	10	18	1
97	0	6	12	2
98	1	9	9	0
99	2	11	8	0
100	3	10	14	0
101	0	10	10	0
102	1	8	13	1
103	1	12	10	1
104	1	14	13	0
105	2	11	9	0
106	1	11	11	1
107	1	5	10	0
108	0	7	14	0
109	1	9	12	0
110	0	14	9	0
111	0	7	10	1
112	1	7	8	1
113	0	3	12	0
114	1	7	4	0
115	0	4	8	1
116	1	6	4	1
117	0	8	8	0
118	0	8	6	0
119	1	9	8	1
120	2	4	9	3
121	0	6	3	0
122	0	4	10	2
123	1	12	5	1
124	1	8	6	1
125	0	6	10	1
126	2	5	8	1
127	0	3	6	1
128	0	7	7	1
129	1	2	5	1
130	1	5	5	0
131	1	4	5	0
132	3	2	10	1
133	0	4	3	0
134	0	6	7	3
135	0	8	3	0
136	0	6	4	1
137	0	5	5	0
138	1	4	7	1
139	3	4	7	0
140	0	4	8	0
141	0	8	5	1
142	0	6	6	0
143	1	5	4	2
144	1	3	5	0
145	1	2	5	1
146	0	6	7	0
147	0	1	4	0
148	0	5	9	0
149	1	1	3	1
150	0	1	5	1
151	1	3	4	0
152	1	5	1	1
153	0	5	6	2
154	0	1	3	0
155	1	2	1	0
156	3	2	3	0
157	0	2	0	1
