# Generation: 300
# Total size: 5000; maximum age: 125
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0050, b=-0.0500, k=0.1911, t_0=10.0000
0	0	53	38	0
1	0	57	55	0
2	0	29	60	0
3	0	49	38	0
4	0	47	41	0
5	0	46	54	0
6	0	39	55	0
7	0	60	43	0
8	0	41	53	0
9	0	37	44	0
10	0	49	53	0
11	0	46	55	1
12	1	54	49	1
13	1	49	65	1
14	1	60	41	1
15	3	45	37	1
16	0	41	52	0
17	2	53	40	1
18	1	36	50	0
19	1	34	55	1
20	1	54	31	1
21	0	34	40	2
22	1	43	34	4
23	1	36	43	6
24	3	50	42	4
25	3	42	22	1
26	4	44	33	5
27	2	44	36	4
28	2	47	40	1
29	3	45	33	1
30	4	36	37	3
31	2	38	39	3
32	2	46	31	4
33	5	25	31	0
34	6	41	44	4
35	9	21	30	2
36	3	39	31	3
37	3	40	27	2
38	2	16	28	2
39	3	27	28	3
40	2	26	39	3
41	5	28	22	5
42	5	31	30	6
43	5	19	16	13
44	4	30	26	6
45	4	25	22	8
46	4	16	28	4
47	2	18	25	9
48	0	21	19	8
49	1	20	25	2
50	2	24	16	3
51	3	20	24	5
52	6	24	17	5
53	9	21	18	2
54	4	13	15	10
55	4	20	12	4
56	5	17	21	2
57	3	18	20	8
58	1	17	7	2
59	4	19	11	2
60	3	13	5	2
61	2	6	5	5
62	5	11	12	1
63	2	8	11	3
64	6	10	6	6
65	2	6	9	2
66	2	5	10	3
67	4	4	7	1
68	0	11	10	3
69	3	7	7	3
70	4	5	10	1
71	1	6	6	4
72	1	10	7	4
73	3	4	8	2
74	2	6	4	2
75	4	4	2	1
76	2	6	1	3
77	0	9	9	3
78	1	3	2	1
79	1	6	1	1
80	1	3	2	0
81	1	5	1	1
82	2	7	5	2
83	2	0	3	0
84	2	2	0	2
85	0	4	2	2
86	1	2	3	1
87	0	0	2	1
88	0	0	3	0
89	3	1	1	1
90	1	4	1	1
91	2	2	2	1
92	2	4	0	0
93	2	1	3	0
94	1	2	1	1
95	0	0	3	1
96	0	0	0	0
97	1	2	1	0
98	0	0	0	0
99	1	0	1	1
100	1	0	1	0
101	0	0	1	0
102	0	1	0	0
103	0	1	1	0
104	0	0	1	0
105	0	0	0	1
106	0	1	0	0
107	0	0	1	0
108	0	0	0	0
109	0	0	0	0
110	0	0	1	1
111	0	1	0	0
112	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	1
116	0	0	0	0
117	0	0	0	0
118	0	0	0	0
119	0	0	0	0
120	0	0	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	2	0	0
125	0	0	1	0
