# Generation: 300
# Total size: 5000; maximum age: 49
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0150, b=-0.0190, k=0.1911, t_0=1.2667
0	0	151	150	0
1	0	159	147	0
2	1	164	168	0
3	9	150	141	8
4	12	140	135	10
5	19	137	136	15
6	30	123	120	19
7	41	113	111	30
8	35	95	90	38
9	29	81	88	34
10	38	83	79	40
11	37	72	70	50
12	38	64	46	41
13	54	46	57	50
14	50	35	38	45
15	42	33	35	42
16	37	30	25	36
17	36	14	15	42
18	39	16	13	33
19	39	15	11	30
20	22	10	14	29
21	24	1	6	24
22	29	6	4	13
23	21	5	6	24
24	21	3	0	15
25	17	1	3	14
26	12	3	0	9
27	7	0	1	7
28	10	1	0	5
29	11	0	0	6
30	6	2	0	5
31	6	1	0	3
32	4	0	0	6
33	1	0	0	4
34	5	0	0	1
35	1	0	0	3
36	3	0	0	0
37	0	0	0	2
38	0	0	0	1
39	5	0	0	2
40	0	0	0	1
41	1	0	0	0
42	1	0	0	0
43	0	0	0	2
44	0	0	0	2
45	1	0	0	0
46	0	0	0	1
47	0	0	0	0
48	0	0	0	0
49	0	0	0	1
