# Generation: 300
# Total size: 5000; maximum age: 48
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0175, b=-0.0190, k=0.1911, t_0=1.0857
0	0	175	171	0
1	0	165	169	0
2	4	150	175	2
3	6	167	159	2
4	14	149	133	17
5	26	112	136	17
6	25	133	118	35
7	44	92	121	33
8	31	102	91	34
9	41	94	60	43
10	40	82	77	56
11	62	58	61	57
12	47	55	43	49
13	58	28	33	55
14	41	38	34	49
15	44	22	26	41
16	42	15	20	61
17	37	15	15	30
18	31	11	6	40
19	30	8	5	38
20	30	5	5	24
21	21	3	5	18
22	23	2	1	23
23	22	0	4	11
24	17	5	1	18
25	11	1	0	9
26	10	0	0	12
27	8	0	0	13
28	8	0	0	14
29	7	0	0	5
30	5	0	0	2
31	5	0	0	7
32	6	0	0	7
33	1	0	0	2
34	2	0	0	1
35	3	0	0	3
36	3	0	0	1
37	2	0	0	3
38	0	0	0	0
39	1	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	1
44	1	0	0	0
45	0	0	0	1
46	0	0	0	0
47	0	0	0	0
48	1	0	0	0
