# Generation: 300
# Total size: 5000; maximum age: 55
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0075, b=-0.0190, k=0.1911, t_0=2.5333
0	0	120	108	0
1	0	128	140	0
2	2	125	140	1
3	2	131	106	3
4	6	110	147	4
5	5	113	110	5
6	9	112	95	12
7	12	105	104	8
8	19	107	108	14
9	26	94	78	13
10	18	99	90	23
11	31	67	92	23
12	20	81	49	19
13	27	72	70	25
14	32	52	50	24
15	20	49	55	24
16	30	61	54	23
17	37	49	42	27
18	14	35	42	33
19	37	37	37	32
20	29	26	31	31
21	17	23	17	27
22	24	21	18	24
23	21	19	15	28
24	11	20	16	26
25	12	14	12	23
26	19	10	10	17
27	14	5	6	13
28	11	7	8	17
29	8	7	4	13
30	6	6	4	11
31	6	5	0	8
32	10	2	3	10
33	10	2	2	5
34	5	4	0	5
35	9	4	3	8
36	7	2	2	2
37	4	0	1	5
38	4	0	2	3
39	1	0	0	5
40	2	0	0	3
41	2	0	0	1
42	1	0	0	4
43	2	0	0	1
44	1	0	0	3
45	0	0	0	4
46	0	0	0	3
47	0	0	0	1
48	3	0	0	0
49	0	0	0	1
50	0	0	0	0
51	1	0	0	1
52	1	0	0	0
53	0	0	0	0
54	0	0	0	0
55	1	0	0	0
