# Generation: 300
# Total size: 5000; maximum age: 58
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0125, b=-0.0190, k=0.1911, t_0=1.5200
0	0	160	154	0
1	0	146	146	0
2	2	160	148	2
3	9	149	132	4
4	8	135	149	4
5	18	124	120	17
6	14	116	124	23
7	21	144	106	26
8	32	100	97	33
9	36	90	81	29
10	45	92	86	30
11	36	67	71	46
12	34	52	62	54
13	38	52	48	34
14	38	49	56	45
15	31	35	39	35
16	35	20	19	35
17	44	32	22	44
18	27	15	22	32
19	31	23	16	42
20	24	8	5	25
21	21	8	10	25
22	20	8	7	24
23	22	6	5	24
24	19	5	4	13
25	18	4	5	12
26	13	3	1	11
27	10	1	3	14
28	10	2	1	8
29	9	1	0	8
30	3	0	2	12
31	5	0	2	9
32	1	0	0	9
33	1	0	0	4
34	4	0	0	3
35	3	0	1	7
36	1	0	0	1
37	0	0	0	1
38	0	0	0	4
39	3	0	0	1
40	0	0	0	2
41	1	0	0	0
42	0	0	0	2
43	0	0	0	1
44	0	0	0	0
45	1	0	0	0
46	0	0	0	2
47	1	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	1	0	0	0
54	0	0	0	0
55	1	0	0	0
56	0	0	0	0
57	0	0	0	0
58	1	0	0	0
