# Generation: 300
# Total size: 5000; maximum age: 65
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0500, b=-0.5000, k=0.1911, t_0=10.0000
0	0	117	130	0
1	0	105	129	0
2	0	101	101	0
3	0	110	125	0
4	0	93	123	0
5	0	104	90	0
6	0	107	115	0
7	0	96	102	0
8	0	97	86	0
9	0	93	98	0
10	0	117	135	0
11	1	87	100	4
12	8	100	114	5
13	16	83	90	12
14	18	67	85	21
15	12	80	62	26
16	22	70	68	18
17	44	61	66	29
18	28	41	53	22
19	26	38	40	20
20	42	48	34	29
21	35	30	28	38
22	30	25	25	38
23	31	11	13	30
24	28	13	13	23
25	26	9	15	17
26	22	5	3	20
27	24	4	1	23
28	19	0	3	28
29	8	0	1	19
30	14	0	0	9
31	11	0	0	12
32	18	0	0	17
33	9	0	0	10
34	8	0	0	9
35	5	0	0	4
36	3	0	0	2
37	4	0	0	5
38	7	0	0	4
39	3	0	0	1
40	1	0	0	1
41	1	0	0	3
42	1	0	0	2
43	2	0	0	0
44	1	0	0	1
45	2	0	0	0
46	1	0	0	1
47	1	0	0	0
48	1	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	1	0	0	0
53	0	0	0	0
54	1	0	0	0
55	0	0	0	0
56	1	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	1
