# Generation: 300
# Total size: 5000; maximum age: 63
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0100, b=-0.0190, k=0.1911, t_0=1.9000
0	0	131	145	0
1	0	131	141	0
2	0	120	128	0
3	2	140	120	5
4	8	134	123	11
5	9	144	145	8
6	16	120	127	18
7	23	109	95	19
8	23	104	99	20
9	23	94	82	21
10	26	90	84	22
11	44	68	95	36
12	35	75	68	19
13	37	52	56	24
14	32	52	61	29
15	31	41	51	39
16	42	45	31	27
17	30	24	30	38
18	33	28	20	43
19	32	25	20	18
20	31	20	16	38
21	25	20	8	26
22	23	7	13	32
23	23	5	13	23
24	25	5	9	13
25	22	5	6	20
26	13	3	6	23
27	11	2	4	14
28	13	5	4	11
29	14	1	3	11
30	7	2	0	13
31	10	0	2	6
32	8	3	1	4
33	3	0	2	7
34	8	0	0	6
35	2	0	0	4
36	5	1	0	8
37	4	0	0	6
38	2	0	1	3
39	4	0	0	3
40	4	0	0	1
41	2	0	0	2
42	2	0	0	0
43	1	0	0	1
44	0	0	0	0
45	1	0	0	1
46	0	0	0	1
47	0	0	0	0
48	0	0	0	1
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	1	0	0	0
