# Generation: 300
# Total size: 5000; maximum age: 49
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0200, b=-0.0190, k=0.1911, t_0=0.9500
0	0	205	195	0
1	0	162	178	0
2	4	177	158	4
3	12	144	161	9
4	18	169	162	18
5	21	137	136	21
6	25	131	105	50
7	41	114	88	33
8	56	89	96	31
9	59	77	77	55
10	52	74	62	60
11	55	67	44	64
12	74	26	43	64
13	56	33	27	53
14	38	18	26	49
15	32	16	23	35
16	36	19	19	40
17	41	8	10	41
18	32	8	7	22
19	29	4	5	23
20	23	3	7	17
21	21	2	5	24
22	14	1	4	23
23	18	0	1	20
24	10	0	0	19
25	19	1	1	16
26	11	0	0	8
27	7	1	0	3
28	6	0	0	4
29	9	0	0	5
30	2	0	0	1
31	4	0	0	3
32	2	0	0	2
33	2	0	0	5
34	4	0	0	2
35	3	0	0	1
36	0	0	0	0
37	0	0	0	1
38	2	0	0	0
39	0	0	0	1
40	0	0	0	0
41	2	0	0	0
42	0	0	0	1
43	1	0	0	0
44	1	0	0	1
45	1	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	2	0	0	0
