# Generation: 300
# Total size: 5000; maximum age: 212
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0020, b=-0.0200, k=0.1911, t_0=10.0000
0	0	26	41	0
1	0	30	27	0
2	0	26	26	0
3	0	29	30	0
4	0	39	28	0
5	0	42	35	0
6	0	26	31	0
7	0	35	35	0
8	0	33	40	0
9	0	38	22	0
10	0	37	33	0
11	0	32	44	0
12	0	39	30	0
13	0	29	28	0
14	0	27	43	0
15	0	40	25	1
16	0	32	28	0
17	0	42	37	0
18	0	34	44	1
19	0	33	33	1
20	0	40	24	0
21	0	24	22	0
22	0	39	25	2
23	1	34	41	0
24	1	30	33	2
25	0	35	41	3
26	1	35	32	0
27	0	22	27	3
28	1	24	23	1
29	1	31	29	1
30	1	30	29	1
31	2	30	34	1
32	1	35	37	0
33	1	30	25	1
34	2	24	34	1
35	1	30	27	1
36	3	32	25	0
37	2	31	18	0
38	0	30	29	2
39	0	22	23	2
40	1	27	20	2
41	3	26	18	5
42	1	26	24	2
43	1	20	18	3
44	1	27	24	1
45	1	31	19	1
46	1	22	29	0
47	0	29	22	2
48	2	23	17	2
49	2	19	23	0
50	1	19	18	0
51	1	16	15	0
52	0	20	21	2
53	1	21	17	0
54	1	31	20	1
55	0	22	26	1
56	1	21	15	3
57	4	22	22	1
58	3	17	20	3
59	0	18	25	0
60	2	21	16	0
61	1	21	18	1
62	1	18	24	3
63	5	17	13	4
64	4	22	12	2
65	2	21	17	0
66	1	25	11	1
67	0	16	21	2
68	2	13	15	3
69	1	19	12	1
70	2	16	22	1
71	2	17	19	3
72	3	14	20	1
73	1	19	13	3
74	2	17	14	3
75	1	10	15	1
76	2	17	5	2
77	2	20	10	3
78	2	15	7	1
79	1	12	19	1
80	1	13	14	3
81	2	12	13	2
82	3	9	6	0
83	3	17	9	4
84	2	10	13	0
85	0	14	10	1
86	0	12	9	3
87	0	9	8	1
88	3	12	12	2
89	0	7	8	0
90	1	12	9	1
91	1	7	7	0
92	4	9	7	1
93	0	8	7	2
94	3	5	6	2
95	0	6	6	1
96	1	3	7	1
97	1	6	8	2
98	4	8	7	1
99	0	7	3	0
100	2	8	7	1
101	0	5	9	2
102	0	7	4	1
103	3	11	6	2
104	3	7	8	1
105	1	8	4	1
106	1	8	6	0
107	1	4	1	0
108	2	7	4	1
109	1	2	5	1
110	0	3	4	0
111	1	2	4	2
112	0	4	7	0
113	3	6	4	0
114	2	4	2	0
115	1	2	2	0
116	2	4	7	1
117	1	1	3	1
118	0	2	3	0
119	0	4	3	0
120	1	4	4	1
121	0	2	6	0
122	1	3	3	0
123	2	1	3	0
124	1	1	3	0
125	0	2	2	0
126	0	3	0	0
127	0	3	3	2
128	0	2	1	0
129	0	3	3	1
130	0	1	2	1
131	0	2	3	0
132	0	1	2	1
133	1	2	3	0
134	1	1	1	1
135	0	1	1	0
136	1	0	2	0
137	0	1	1	1
138	1	2	2	0
139	0	1	2	0
140	0	2	0	0
141	0	0	1	1
142	0	2	0	0
143	1	1	0	1
144	1	0	0	0
145	0	1	2	1
146	0	0	0	1
147	0	0	2	0
148	0	0	0	2
149	1	0	0	0
150	1	2	0	0
151	0	1	1	0
152	0	0	1	0
153	2	0	0	0
154	1	1	2	0
155	0	0	0	1
156	0	0	0	0
157	0	0	1	1
158	0	0	0	0
159	1	1	1	1
160	0	0	0	0
161	0	0	0	0
162	1	0	0	0
163	0	0	0	0
164	0	0	1	0
165	0	0	0	0
166	2	0	2	0
167	0	0	0	0
168	0	0	0	0
169	0	0	0	0
170	0	0	0	0
171	0	0	1	0
172	1	0	0	0
173	0	0	0	0
174	0	0	0	0
175	0	0	0	0
176	0	0	0	0
177	0	0	0	0
178	0	0	0	0
179	0	0	0	0
180	0	0	0	0
181	0	0	0	0
182	0	0	0	0
183	0	0	0	0
184	0	0	0	0
185	0	0	0	0
186	0	0	0	0
187	0	0	0	0
188	0	0	0	0
189	0	0	0	0
190	0	0	0	0
191	0	0	0	0
192	0	0	0	0
193	1	0	0	0
194	1	0	0	0
195	0	0	0	0
196	0	0	0	0
197	0	0	0	0
198	0	1	0	0
199	0	0	0	0
200	0	0	0	0
201	0	0	0	0
202	0	0	0	0
203	0	0	0	0
204	0	0	0	0
205	0	0	0	0
206	0	0	0	0
207	0	0	0	0
208	0	0	0	0
209	0	0	0	0
210	0	1	0	0
211	0	0	0	0
212	0	0	1	0
