# Generation: 300
# Total size: 5000; maximum age: 65
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0400, b=-0.4000, k=0.1911, t_0=10.0000
0	0	91	106	0
1	0	112	120	0
2	0	108	105	0
3	0	91	100	0
4	0	102	98	0
5	0	77	110	0
6	0	100	107	0
7	0	103	99	0
8	0	103	97	0
9	0	101	111	0
10	0	109	96	0
11	3	93	96	1
12	5	82	86	7
13	5	95	92	14
14	15	82	82	14
15	14	80	74	15
16	22	61	74	12
17	21	66	77	21
18	19	57	50	12
19	29	55	39	16
20	30	49	36	29
21	17	41	39	33
22	28	25	31	22
23	18	35	35	23
24	37	19	27	19
25	22	19	13	18
26	17	12	11	24
27	23	10	6	22
28	26	12	8	19
29	25	7	6	18
30	19	9	6	7
31	17	5	3	12
32	18	0	2	22
33	7	0	0	7
34	6	0	1	15
35	8	0	0	9
36	8	0	0	8
37	9	0	0	2
38	8	0	0	5
39	7	0	0	2
40	6	0	0	1
41	2	0	0	3
42	3	0	0	0
43	0	0	0	2
44	2	0	0	2
45	1	0	0	2
46	1	0	0	2
47	2	0	0	0
48	1	0	0	1
49	1	0	0	0
50	0	0	0	1
51	1	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	1	0	0	0
