# Generation: 300
# Total size: 5000; maximum age: 102
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0100, b=-0.1000, k=0.1911, t_0=10.0000
0	0	56	60	0
1	0	64	57	0
2	0	70	66	0
3	0	62	73	0
4	0	63	50	0
5	0	59	69	0
6	0	72	69	0
7	0	67	65	0
8	0	58	59	0
9	0	68	61	0
10	0	52	55	0
11	0	60	63	1
12	1	59	60	0
13	0	60	52	1
14	1	75	74	2
15	2	58	58	4
16	2	43	60	2
17	4	69	62	8
18	1	54	60	4
19	4	56	63	5
20	2	50	51	7
21	6	52	45	3
22	6	39	46	10
23	7	45	52	8
24	5	52	44	2
25	4	46	46	4
26	6	36	45	4
27	6	35	42	6
28	5	39	41	3
29	8	38	30	8
30	9	43	31	6
31	4	35	31	6
32	6	21	31	11
33	8	32	30	5
34	6	29	25	11
35	4	23	35	5
36	9	22	26	7
37	8	21	29	6
38	6	32	15	9
39	9	28	18	7
40	12	27	18	5
41	9	17	21	5
42	9	19	27	8
43	8	17	18	10
44	6	18	11	7
45	10	20	9	8
46	7	16	14	8
47	5	10	12	7
48	9	11	10	9
49	6	9	8	6
50	9	10	7	2
51	2	8	13	4
52	4	6	10	4
53	7	9	2	3
54	3	9	5	5
55	10	5	7	2
56	9	9	5	7
57	4	6	6	4
58	5	5	4	4
59	3	3	4	3
60	6	3	3	2
61	1	3	2	0
62	1	3	2	0
63	2	2	4	6
64	1	1	0	0
65	5	2	1	3
66	4	1	2	0
67	2	3	3	4
68	1	0	3	0
69	2	1	0	1
70	1	2	1	0
71	2	1	1	1
72	0	0	0	2
73	0	0	0	0
74	1	0	0	1
75	0	0	1	1
76	2	1	1	1
77	2	0	0	0
78	1	0	1	0
79	1	1	0	1
80	1	0	0	2
81	1	0	0	1
82	0	0	0	1
83	0	0	1	2
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	1
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	1
94	1	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	1	0	0	0
102	1	0	0	0
